Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
40,0,100,Logistic Regression,2842,3807,1428,0.8326,0.8321,0.8326,0.8321,0.0092,0.009,0.8848,0.8843,0.8848,0.8843,0.0083,0.0081,0.4005
40,0,100,Random Forest,2842,3807,1428,0.8361,0.8359,0.8361,0.8358,0.0105,0.0102,0.9089,0.9087,0.9089,0.9083,0.0073,0.0075,0.4005
40,0,100,Decision Tree,2842,3807,1428,0.843,0.8433,0.843,0.843,0.0101,0.0103,0.9026,0.9027,0.9026,0.9024,0.0073,0.0075,0.4005
40,0,100,Neural Network,2842,3807,1428,0.7582,0.7578,0.7582,0.7578,0.0086,0.0091,0.8842,0.8839,0.8842,0.8838,0.0073,0.0074,0.4005
40,1,101,Logistic Regression,2905,3865,1459,0.8252,0.8249,0.8252,0.8248,0.0085,0.0084,0.8837,0.8833,0.8837,0.8831,0.011,0.0108,0.3991
40,1,101,Random Forest,2905,3865,1459,0.8423,0.8426,0.8423,0.8422,0.0071,0.0071,0.9106,0.9105,0.9106,0.9101,0.0066,0.0067,0.3991
40,1,101,Decision Tree,2905,3865,1459,0.8514,0.8511,0.8514,0.8511,0.0128,0.0128,0.9087,0.9085,0.9087,0.9085,0.0134,0.0135,0.3991
40,1,101,Neural Network,2905,3865,1459,0.7527,0.7521,0.7527,0.7519,0.0036,0.0034,0.8837,0.8832,0.8837,0.8832,0.0072,0.0075,0.3991
40,2,102,Logistic Regression,2605,3466,1341,0.8347,0.8344,0.8347,0.8344,0.0085,0.0081,0.8826,0.8821,0.8826,0.882,0.0105,0.0102,0.3942
40,2,102,Random Forest,2605,3466,1341,0.8397,0.8403,0.8397,0.8398,0.0107,0.0103,0.9122,0.912,0.9122,0.9118,0.0054,0.0053,0.3942
40,2,102,Decision Tree,2605,3466,1341,0.8399,0.8408,0.8399,0.8401,0.0127,0.0124,0.9041,0.9041,0.9041,0.904,0.0047,0.0046,0.3942
40,2,102,Neural Network,2605,3466,1341,0.7617,0.762,0.7617,0.7617,0.009,0.0088,0.889,0.8884,0.889,0.8884,0.0028,0.0029,0.3942
40,3,103,Logistic Regression,2847,3786,1430,0.8307,0.8301,0.8307,0.8301,0.0105,0.0103,0.8816,0.8813,0.8816,0.881,0.0102,0.0102,0.3952
40,3,103,Random Forest,2847,3786,1430,0.8393,0.8393,0.8393,0.8388,0.0117,0.0115,0.9064,0.9063,0.9064,0.906,0.0048,0.0049,0.3952
40,3,103,Decision Tree,2847,3786,1430,0.8424,0.8425,0.8424,0.8423,0.0084,0.0083,0.9048,0.9048,0.9048,0.9048,0.0083,0.0083,0.3952
40,3,103,Neural Network,2847,3786,1430,0.7527,0.7526,0.7527,0.7522,0.0098,0.0105,0.8795,0.8796,0.8795,0.8793,0.0044,0.0043,0.3952
40,4,104,Logistic Regression,2879,3913,1449,0.8232,0.8227,0.8232,0.8227,0.0108,0.0109,0.8807,0.8803,0.8807,0.8802,0.01,0.01,0.3989
40,4,104,Random Forest,2879,3913,1449,0.8424,0.8427,0.8424,0.8423,0.0054,0.0051,0.9109,0.9107,0.9109,0.9104,0.0052,0.0052,0.3989
40,4,104,Decision Tree,2879,3913,1449,0.8475,0.8471,0.8475,0.8471,0.0054,0.0056,0.9037,0.9034,0.9037,0.9034,0.0076,0.0078,0.3989
40,4,104,Neural Network,2879,3913,1449,0.7377,0.7376,0.7377,0.7373,0.0127,0.0123,0.8807,0.8807,0.8807,0.8805,0.0065,0.0066,0.3989
